method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon
composite_equal,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,lrl,101,39.08910891089109,38.0,22.0,48.0,73.0,53.54672453546726,87.12871287128714,3.3488187178787645,77.22772277227723,4.193627442484629,20.0,20.0,20.0,9,100.0,0.0,1.8277844781913732,0.1,0.05
lightgbm_lambdarank,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,lrl,101,33.04950495049505,32.0,15.0,58.0,73.0,45.27329445273294,89.10891089108911,3.115273806445995,80.19801980198021,3.985071643068932,20.0,20.0,20.0,9,100.0,0.0,1.6557849619730762,0.1,0.05
mlp_listnet,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,lrl,101,35.28712871287129,37.0,15.0,45.0,73.0,48.33853248338531,85.14851485148515,3.5560960388253413,74.25742574257426,4.372158844716756,20.0,20.0,20.0,9,100.0,0.0,2.3090303683183633,0.1,0.05
rrf_equal,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,lrl,101,27.455445544554454,26.0,20.0,47.0,73.0,37.61019937610202,83.16831683168317,3.741473985681423,72.27722772277228,4.476298833844482,20.0,20.0,20.0,9,100.0,0.0,2.4891813759429477,0.1,0.05
single_distals_asjp,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_asjp,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
