method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
single_new_typ,76.66072048474447,3.2781465128925755,10.0,40.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
lightgbm_lambdarank,65.01518741578968,3.3698444878176503,10.0,20.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_new_gen,71.65758641329127,4.199169235935154,10.0,40.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
mlp_listnet,65.45682477923867,4.522697727078941,10.0,10.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_distals_asjp,73.74475684569505,4.638106947669838,20.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
composite_equal,73.28479799500317,4.665846962110862,10.0,40.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
rrf_equal,76.68169310196426,4.978532046661745,10.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
nnrank,75.71669609468772,5.312076992308796,20.0,40.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_new_geo,69.90309030383177,5.5382762742114675,10.0,40.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
random,67.70117162949316,7.830614062997836,30.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_script,63.81768796449828,8.237523411184482,0.0,30.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_distals_wiki_size,58.145701593657215,9.29627579570305,10.0,40.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
